region_id,page_id,pdf_page,start_char,end_char_exclusive,region_type,detection_method,reviewed,x0,y0,x1,y1,row_count,col_count,token_count,text_sha256,text_preview
XR_000044,P_0275,275,175,1100,TABLE,pymupdf_layout,true,70.859,247.038,538.35,457.96,0,0,114,b896f4a20892793643ae1980a3328a58f55760ad037d07bde34029975ca8078f,Table 8.2 Typical findings on examination of CSF Disease or condition Appearance Blood cell Protein concentration Glucose Other findings concentration concentra
XR_000045,P_0284,284,1790,2008,TABLE,pymupdf_layout,true,184.36,635.868,524.35,728.26,0,0,38,c78b04a3ee9f8a645be862d0df3a0db73b7e2390e89afb44c87ade51699ea747,Table 9.1 Preparing serial dilutions of reference solution Tube number Volume of reference Volume of Drabkin diluting Dilution solution (ml) fluid (ml) 1 4.0 0.
XR_000046,P_0285,285,23,260,TABLE,pymupdf_layout,true,70.86,99.888,410.859,194.357,0,0,37,1ece2361efc8af32995402ff238d85be8d7b80d48ffec430221e2d33ebc78440,Table 9.2 Sample spectrophotometer readings for different dilu- tions of reference solution Dilution Haemoglobin concentration (g/l) Absorbance at 540nm undilut
XR_000047,P_0286,286,59,318,TABLE,pymupdf_layout,true,184.3,100.192,524.268,192.55,0,0,41,a80b12c09aa34ff89ab2d1703414b649249d015c471afe64d7273b24e8d5ba0a,Table 9.3 Preparing serial dilutions of haemiglobincyanide solution Tube Volume of haemiglobincyanide Volume of Drabkin Concentration of number solution (ml) di
XR_000048,P_0287,287,640,933,TABLE,pymupdf_layout,true,72.39,539.178,412.428,644.41,0,0,37,bacc37aad8506e98f86f06d05417d802fe7a69c7123bbf23ca9e2c96960eb9ef,"Table 9.4 Normal haemoglobin concentrations, by age group Age group Haemoglobin (Fe) Haemoglobin concentration (g/l) concentration (mmol/l) Newborn infants 8.4–"
XR_000049,P_0289,289,2101,2310,TABLE,pymupdf_layout,true,70.857,686.393,297.275,779.89,0,0,42,acf15cc1e3dc0ddbd017b27111b1563ae2535f8d6ba08ccf5d95423a01dfee86,Table 9.5 Preparation of serial dilutions of AHD reference solution for calibration of a colorimeter Test-tube 1 2 3 4 AHD reagent (ml) 1 2 3 4 AHD reference so
XR_000050,P_0296,296,59,353,TABLE,pymupdf_layout,true,184.298,99.891,522.967,207.1,0,0,42,6d77aaca37052528658e39c0a927f613b3a3505b9677cc7265fa759e19dda57f,"Table 9.6 Normal erythrocyte volume fractions and packed cell volumes, by age group Age group Erythrocyte volume fraction Packed cell volume (%) Newborn infants"
XR_000051,P_0299,299,2172,2546,TABLE,pymupdf_layout,true,70.86,665.422,410.904,777.197,0,0,62,7fccd24db643684bd2740068dbb93493d95b59becd05ecf1421fe9fd1eb5d1b9,"Table 9.7 Normal erythrocyte number concentrations, by age group Age group Erythrocyte number concentration SI units (per litre) Traditional units (per mm3) New"
XR_000052,P_0303,303,1914,2175,TABLE,pymupdf_layout,true,70.89,660.018,411.003,755.357,0,0,43,55f80207d00b38be9a1371191239ea69dd1e892cdf6a883f560cd107a80cc8f8,"Table 9.8 Normal leukocyte number concentrations, by age group Age group Leukocyte number concentration (per litre)a Newborn infants 10–20 ¥ 109 Infants (3–9 mo"
XR_000053,P_0306,306,59,230,TABLE,pymupdf_layout,true,185.29,101.778,412.024,221.957,0,0,31,81c105737bb974a04b4cc698a726f71b962da9e99fff81e46c91b039bd413799,"Table 9.9 Erythrocyte sedimentation rates (ESR),a by age group Age group ESR (mm/hour) Adults (< 50 years) Men < 15 Women < 20 Adults (> 50 years) Men ≥20 Women"
XR_000054,P_0317,317,2012,2504,TABLE,pymupdf_layout,true,70.86,614.12,410.957,772.75,0,0,64,12411cd7d2766efa6d21ae60b812af70966cf070a57f86e3bc008a6ebc38df94,Table 9.10 Appearance of blood cells in thin films stained with Leishman stain Cell type Appearance Neutrophils Cytoplasm stains faint pink and contains small m
XR_000055,P_0330,330,1930,2216,TABLE,pymupdf_layout,true,184.21,672.978,524.19,754.607,0,0,42,4607ecf0a7b49db015198441a32bf9aba60e4be7963d5ae3d71c0c13672f802b,"Table 9.11 Reticulocyte number concentrations and reticulocyte number fractions, by age group Age group Reticulocyte number concentrationa Reticulocyte number f"
XR_000056,P_0332,332,1327,1830,TABLE,pymupdf_layout,true,184.36,435.469,524.377,567.16,0,0,60,cde4506970ae4ef69845b94e76be706eb9506d155fc333ff212dfabd62143e2b,"Table 9.12 Normal leukocyte type number fractions, by age group Age group Cell typea Neutrophils Eosinophils Basophils Lymphocytes Monocytes Newborn infants 0.5"
XR_000057,P_0333,333,830,1012,TABLE,pymupdf_layout,true,70.86,369.17,297.204,450.797,0,0,31,276fa7945633762f8bda915720053c202ae6dd2c70a932c0a258167b242fc24a,"Table 9.13 Normal thrombocyte counts, by age group Age group Thrombocyte count (per mm3) Infants (< 1 year) 3.5–6.6 ¥ 105 Children (1–15 years) 2.5–5.1 ¥ 105 Ad"
XR_000058,P_0337,337,28,270,TABLE,pymupdf_layout,true,70.86,99.888,410.837,198.7,0,0,31,3af99b4276dd4bb3ff614e0692f50d1244f27ab7f1c21df385cd97b6df06d4ff,Table 10.1 Blood glucose concentrations in fasting patients Fluid Glucose concentration SI units (mmol/l) Traditional units (mg/100ml) Venous blood 3.3–5.5 60–1
XR_000059,P_0350,350,59,785,TABLE,pymupdf_layout,true,56.71,99.89,524.375,347.2,0,0,158,b1919591a930d9d678a41a803f7c89e72b14c3c28e6f53b2acccce19d8e62de3,Table 11.1 Preparation of dilution series for the anti-streptolysin O test Tube number Volume of patient’s Volume of Resulting Volume of reduced Volume of 5% se
